排名,股票代码,股票名称,最新收盘价,20日前收盘价,20日涨幅%,交易所,申万二级行业
60,2490,山东墨龙,13.2,9.0,46.67,SZ,
61,301626,苏州天脉,264.88,181.0,46.34,SZ,元器件
62,2800,天顺股份,24.35,16.64,46.33,SZ,
63,300812,易天股份,43.09,29.46,46.27,SZ,专用机械
64,2491,通鼎互联,11.46,7.85,45.99,SZ,
65,600172,黄河旋风,9.56,6.55,45.95,SH,矿物制品
66,603826,坤彩科技,23.9,16.38,45.91,SH,染料涂料
67,300191,潜能恒信,45.67,31.33,45.77,SZ,石油开采
68,300814,中富电路,108.21,74.25,45.74,SZ,元器件
69,301120,新特电气,27.41,18.83,45.57,SZ,电气设备
70,603738,泰晶科技,23.36,16.09,45.18,SH,元器件
71,600590,泰豪科技,16.18,11.15,45.11,SH,通信设备
72,2350,北京科锐,13.57,9.36,44.98,SZ,
73,300480,光力科技,32.71,22.67,44.29,SZ,专用机械
74,688308,欧科亿,76.8,53.25,44.23,SH,机械基件
75,2008,大族激光,69.54,48.25,44.12,SZ,
76,600821,金开新能,8.6,5.97,44.05,SH,新型电力
77,301526,国际复材,12.54,8.74,43.48,SZ,玻璃
78,70,特发信息,17.06,11.9,43.36,SZ,
79,600683,京投发展,7.01,4.89,43.35,SH,区域地产
80,300323,华灿光电,11.94,8.33,43.34,SZ,半导体
81,603318,水发燃气,10.13,7.08,43.08,SH,供气供热
82,601869,长飞光纤,213.2,149.12,42.97,SH,通信设备
83,301302,华如科技,33.0,23.29,41.69,SZ,软件服务
84,688257,新锐股份,76.67,54.17,41.54,SH,机械基件
85,920088,科力股份,73.3,51.8,41.51,SZ,
86,600410,华胜天成,29.73,21.01,41.5,SH,软件服务
87,300157,新锦动力,8.03,5.68,41.37,SZ,专用机械
88,2272,川润股份,20.77,14.71,41.2,SZ,
89,601126,四方股份,52.95,37.52,41.12,SH,电气设备
90,920046,亿能电力,33.69,23.9,40.96,SZ,
